R5-C-unverified-origin	CONTROL	PASS	origin is local path: /private/tmp/sentinel-v-d071/head-wt
R5-C-unverified-output	CONTROL	PASS	fast output contains UNVERIFIED (rc=0)
R5-1-fast-varname	REQUIRED	PASS	UNVERIFIED line names SENTINEL_RENAME_GATE_UNVERIFIED_OK (rc=0)
R5-2-deep-refuse	REQUIRED	PASS	deep UNVERIFIED no-ack rc=1
R5-3-deep-ack-disclose	REQUIRED	PASS	ack deep rc=0 and disclosure present
R5-C-gh-private	CONTROL	PASS	gh repo view johnrfite1/sentinel visibility=PRIVATE
R5-4-readable-clean	REQUIRED	PASS	fast rc=0 deep rc=0 clean line present
V6-COUNT-secrets-C-potency-ls	CONTROL	PASS	unpinned ls-files listed scratch-d072-secret.env before injection
V6-COUNT-secrets-C-potency-scan	CONTROL	PASS	consumer blocked visible scratch-d072-secret.env
V6-COUNT-secrets-C-exploit	CONTROL	PASS	unpinned ls-files omitted scratch-d072-secret.env after COUNT
V6-COUNT-secrets	REQUIRED	PASS	consumer blocked scratch-d072-secret.env (rc=1)
V6-COUNT-vendor-C-potency-ls	CONTROL	PASS	unpinned ls-files listed scratch-d072-vendor.md before injection
V6-COUNT-vendor-C-potency-scan	CONTROL	PASS	consumer blocked visible scratch-d072-vendor.md
V6-COUNT-vendor-C-exploit	CONTROL	PASS	unpinned ls-files omitted scratch-d072-vendor.md after COUNT
V6-COUNT-vendor	REQUIRED	PASS	consumer blocked scratch-d072-vendor.md (rc=1)
V6-GLOBAL-secrets-C-potency-ls	CONTROL	PASS	unpinned ls-files listed scratch-d072-secret.env before injection
V6-GLOBAL-secrets-C-potency-scan	CONTROL	PASS	consumer blocked visible scratch-d072-secret.env
V6-GLOBAL-secrets-C-exploit	CONTROL	PASS	unpinned ls-files omitted scratch-d072-secret.env after GLOBAL
V6-GLOBAL-secrets	REQUIRED	PASS	consumer blocked scratch-d072-secret.env (rc=1)
V6-GLOBAL-vendor-C-potency-ls	CONTROL	PASS	unpinned ls-files listed scratch-d072-vendor.md before injection
V6-GLOBAL-vendor-C-potency-scan	CONTROL	PASS	consumer blocked visible scratch-d072-vendor.md
V6-GLOBAL-vendor-C-exploit	CONTROL	PASS	unpinned ls-files omitted scratch-d072-vendor.md after GLOBAL
V6-GLOBAL-vendor	REQUIRED	PASS	consumer blocked scratch-d072-vendor.md (rc=1)
V6-SYSTEM-secrets-C-potency-ls	CONTROL	PASS	unpinned ls-files listed scratch-d072-secret.env before injection
V6-SYSTEM-secrets-C-potency-scan	CONTROL	PASS	consumer blocked visible scratch-d072-secret.env
V6-SYSTEM-secrets-C-exploit	CONTROL	PASS	unpinned ls-files omitted scratch-d072-secret.env after SYSTEM
V6-SYSTEM-secrets	REQUIRED	PASS	consumer blocked scratch-d072-secret.env (rc=1)
V6-SYSTEM-vendor-C-potency-ls	CONTROL	PASS	unpinned ls-files listed scratch-d072-vendor.md before injection
V6-SYSTEM-vendor-C-potency-scan	CONTROL	PASS	consumer blocked visible scratch-d072-vendor.md
V6-SYSTEM-vendor-C-exploit	CONTROL	PASS	unpinned ls-files omitted scratch-d072-vendor.md after SYSTEM
V6-SYSTEM-vendor	REQUIRED	PASS	consumer blocked scratch-d072-vendor.md (rc=1)
V6-NOSYSTEM-secrets-C-potency-ls	CONTROL	PASS	unpinned ls-files listed scratch-d072-secret.env before injection
V6-NOSYSTEM-secrets-C-potency-scan	CONTROL	PASS	consumer blocked visible scratch-d072-secret.env
